City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hobart,AU,61.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
3,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
5,Mogadishu,SO,78.12,scattered clouds,2.0371,45.3438,Hotel Juba
7,Mount Isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
8,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
10,Hasaki,JP,72.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
17,Atuona,PF,77.7,light rain,-9.8,-139.0333,Villa Enata
18,Kingsport,US,70.12,moderate rain,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
19,Faanui,PF,78.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Carlyle,US,73.8,broken clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
21,Hithadhoo,MV,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
25,San Patricio,US,88.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
27,Kita,ML,76.98,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
30,Port Macquarie,AU,76.37,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
34,Poum,NC,75.27,clear sky,-20.2333,164.0167,Gîte kajeon
35,Thompson,CA,61.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
37,Miri,MY,75.58,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
39,Lakes Entrance,AU,67.57,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
42,San,ML,85.42,scattered clouds,13.3034,-4.8956,Hôtel Teriya
43,Flinders,AU,75.38,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
46,Guerrero Negro,MX,84.33,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
47,Makakilo City,US,84.52,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
49,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Cidreira,BR,63.41,overcast clouds,-30.1811,-50.2056,Hotel Castelo
54,Belle Fourche,US,83.34,clear sky,44.6714,-103.8522,Kings Inn
57,Jamestown,US,68.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Sola,VU,79.61,few clouds,-13.8833,167.55,Leumerus Bungalows
61,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
